Id	LinkId	CampId	Pos	RotAngle	IsEnable	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	41.10 152.10 25.25	0	FALSE	0																
20002	1	3	41.10 152.10 25.25	0	FALSE	0																
20003	10001	2	40.99678 152.10 36.90033	-110	TRUE	1																
20004	10001	2	42.00143 152.10 40.48532	-110	TRUE	1																
20005	10002	2	40.59606 152.10 42.50957	-160	TRUE	1																
20006	10002	2	43.5392 152.10 42.28746	-130	TRUE	1																
20007	10001	2	29.08469 152.10 37.99323	170	TRUE	1																
20008	10002	2	24.78691 152.10 36.99475	180	TRUE	1																
20009	10001	2	33.5909 152.10 46.22697	-170	TRUE	1																
20010	10001	2	33.3485 152.10 48.49564	-170	TRUE	1																
20011	10002	2	35.18222 152.10 49.71651	-180	TRUE	1																
20012	10002	2	32.85069 152.10 51.01286	-170	TRUE	1																
