Id	LinkId	CampId	Pos	RotAngle	IsEnable	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	26.5259 151.782 48.92305	90	FALSE	0																
20002	1	3	40 160 36	0	FALSE	0																
#AÇø																						
20101	10003	2	53.92088 150.0122 61.0903	160	FALSE	10002		1		14|14		30										
20102	10003	2	56.46025 150.0122 62.68862	180	FALSE	10002		1		12|13												
20103	10003	2	66.03881 150.0122 60.47899	10	FALSE	10002		0		66.03881 150.0122 60.47899|60.20625 150.0122 65.06489												
20104	10003	2	61.09724 150.0122 70.20451	0	FALSE	10002		1		14|14		30										
20105	10003	2	58.45424 150.0122 71.47705	45	FALSE	10002		1		13|13												
20106	10003	2	62.71012 150.0122 56.92375	-135	FALSE	10002		1		12|13												
20107	10003	2	55.57522 150.0122 68.19418	180	FALSE	10002		1		12|13												
20108	10004	2	66.83997 150.0122 65.04643	180	FALSE	10003		1		12|13												
20109	10004	2	63.86711 150.0122 70.81441	-25	FALSE	10003		1		14|14		30										
#BÇø																						
20201	10004	2	35.62581 150.1907 82.83758	115	FALSE	10003		1		12|13												
20202	10003	2	34.05426 150.1907 86.9603	135	FALSE	10002																
20203	10003	2	40.32487 150.1907 77.92587	135	FALSE	10002		1		12|13												
20204	10003	2	47.50531 150.1907 80.76711	180	FALSE	10002		0		47.50531 150.1907 80.76711|40.7479 150.1907 81.64852												
20205	10003	2	49.88851 150.1907 84.5303	180	FALSE	10002		1		12|13												
20206	10003	2	40.57438 150.1907 87.86472	-170	FALSE	10002		1		14|14		30										
20207	10005	2	43.18516 150.1907 84.94034	175	FALSE	10004		1		12|12												
20208	10004	2	37.00068 150.1907 78.70277	135	FALSE	10003		1		14|14		30										
20209	10003	2	47.02118 150.1907 85.26992	-135	FALSE	10002		1		14|14		30										
20210	10004	2	37.13431 150.1907 89.01977	170	FALSE	10003		1		12|13												
#CÇø																						
20301	10003	2	43.33424 152.2423 109.2754	-175	FALSE	10002		1		12|13												
20302	10003	2	45.47822 152.5187 112.9281	85	FALSE	10002																
20303	10003	2	45.38091 152.7352 116.811	135	FALSE	10002																
20304	10003	2	36.19398 152.5105 116.0447	180	FALSE	10002		1		12|13												
20305	10005	2	40.7418 152.7892 126.422	180	FALSE	10004		1		12|12												
20306	10003	2	43.46412 152.8135 129.8368	180	FALSE	10002		1		12|13												
20307	10003	2	48.34868 152.7994 129.0187	180	FALSE	10002		0		48.34868 152.7994 129.0187|43.7152 152.7994 125.5733												
20308	10003	2	48.78256 152.841 124.0149	-170	FALSE	10002		1		14|14		30										
20309	10003	2	34.14874 152.2743 111.9951	135	FALSE	10002		1		14|14		30										
20310	10004	2	34.77876 152.7883 122.8177	180	FALSE	10003		0		34.77876 152.7883 122.8177|42.30735 152.7883 118.7321												
20311	10004	2	49.59129 152.8317 126.621	-155	FALSE	10003		1		12|13												
20312	10004	2	35.94426 152.8024 127.0211	140	FALSE	10003		1		14|14		30										
