Id	LinkId	CampId	Pos	RotAngle	IsEnable	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	11.8727 148.1724 78.86723	0	FALSE	0																
20002	1	3	32 150 10	0	FALSE	0																
#A区																						
20101	10003	2	31.42435 146.3713 95.03722	180	FALSE	10002		0		31.42435 146.3713 95.03722|34.27323 146.3713 90.74263												
20102	10003	2	34.11986 146.3713 96.05315	-135	FALSE	10002		1		12|13												
20103	10003	2	37.52896 146.3713 87.94021	-90	FALSE	10002		1		14|14		30										
20104	10003	2	44.47349 146.3713 106.2941	-160	FALSE	10002		1		12|13												
20105	10003	2	40.18387 146.3713 103.4591	-90	FALSE	10002		0		40.18387 146.3713 103.4591|41.11198 146.3713 96.9623												
20106	10003	2	50.76783 146.3713 110.0461	-135	FALSE	10002		1		12|13												
20107	10003	2	52.28762 146.3713 105.8579	45	FALSE	10002																
20108	10003	2	56.43646 146.3713 104.1289	-125	FALSE	10002		1		12|13												
20109	10005	2	45.27694 146.3713 102.623	-120	FALSE	10004		1		12|12												
20110	10004	2	38.87577 146.3713 91.73893	-100	FALSE	10003																
20111	10004	2	55.84157 146.3713 109.3098	-110	FALSE	10003		1		14|14		30										
#B区																						
20201	10003	2	55.56614 142.5081 79.98876	110	FALSE	10002		1		14|14		30										
20202	10003	2	58.94671 142.5081 78.97236	10	FALSE	10002		1		12|13												
20203	10003	2	60.20809 142.5081 75.81533	-88	FALSE	10002		0		60.20809 142.5081 75.81533|67.15444 142.5081 74.21557												
20204	10003	2	73.75933 142.5081 70.65121	90	FALSE	10002		1		14|14		30										
20205	10003	2	75.84135 142.5081 73.31723	-20	FALSE	10002		1		12|13												
20206	10003	2	79.39521 142.5081 73.11923	180	FALSE	10002		0		79.39521 142.5081 73.11923|78.97421 142.5081 78.04483												
20207	10004	2	56.52004 142.5081 76.93407	45	FALSE	10003		1		14|14		30										
20208	10005	2	70.37693 142.5081 76.40128	-95	FALSE	10004		1		12|12												
#C区																						
20301	10003	2	113.3343 143.7725 90.29159	170	FALSE	10002		1		14|14		30										
20302	10003	2	115.6243 143.7668 88.05484	-170	FALSE	10002		1		12|13												
20303	10003	2	119.6299 143.7835 88.62046	-160	FALSE	10002																
20304	10003	2	122.9041 143.7531 82.94156	-135	FALSE	10002		0		122.9041 143.7531 82.94156|115.5308 143.7531 81.18333												
20305	10004	2	122.2691 143.8118 86.1391	-90	FALSE	10003		1		14|14		30										
#D区																						
20401	10003	2	137.3822 146.6684 86.91142	90	FALSE	10002		0		137.3822 146.6684 86.91142|145.5062 146.6684 82.92706												
20402	10003	2	144.4876 146.6319 89.58543	0	FALSE	10002																
20403	10003	2	147.653 146.6539 75.37947	-20	FALSE	10002		1		12|13												
20404	10003	2	152.4358 146.6581 80.42711	-95	FALSE	10002		1		14|14		30										
20405	10005	2	151.0314 146.6732 77.32986	-80	FALSE	10004		1		12|12												
20406	10005	2	146.7168 146.6435 86.60017	-170	FALSE	10004		1		12|12												
20407	10004	2	139.6918 146.7075 77.09823	-130	FALSE	10003		0		139.6918 146.7075 77.09823|147.3015 146.7075 79.57138												
20408	10004	2	150.3291 146.6649 87.09279	-135	FALSE	10003		1		12|13												
