Id	LinkId	CampId	Pos	RotAngle	IsEnable	AiLogic	AiParamDesc0	AiParam0	AiParamDesc1	AiParam1	AiParamDesc2	AiParam2	AiParamDesc3	AiParam3	AiParamDesc4	AiParam4	AiParamDesc5	AiParam5	AiParamDesc6	AiParam6	AiParamDesc7	AiParam7
20001	1	3	46 0 48	0	FALSE	0																
20002	1	3	47 0 48	0	FALSE	0																
20003	10001	2	48 0 48	0	TRUE	1																
20004	10002	2	49 0 48	0	TRUE	1																
20005	10002	2	50 0 48	1	TRUE	1																
20006	10002	2	51 0 48	2	TRUE	1																
20007	10002	2	52 0 48	3	TRUE	1																
20008	10001	2	48 0 48	0	TRUE	1																
20009	10001	2	49 0 48	1	TRUE	1																
20010	10001	2	50 0 48	2	TRUE	1																
20011	10001	2	51 0 48	3	TRUE	1																
